Query Strategy,actual_accuracy - estimated_accuracy,budget
LabelUncertainty,0.02954024072219852,400
LabelUncertainty,0.043666960722198445,400
LabelUncertainty,0.03564746072219849,400
LabelUncertainty,0.0141634507221986,400
LabelUncertainty,0.020634050722198483,400
LabelUncertainty,0.03398390072219848,400
LabelUncertainty,0.02147609072219847,400
LabelUncertainty,0.010369960722198424,500
LabelUncertainty,0.03124597072219859,500
LabelUncertainty,0.030165200722198415,500
LabelUncertainty,0.03622939072219855,500
LabelUncertainty,0.03163700072219855,500
LabelUncertainty,0.03191185072219849,500
LabelUncertainty,0.0021797607221984983,500
LabelUncertainty,0.022290030722198484,500
LabelUncertainty,0.023009610722198426,500
LabelUncertainty,0.03928705072219851,500
LabelUncertainty,0.03543634072219848,600
LabelUncertainty,0.028281380722198435,600
LabelUncertainty,0.016424980722198446,600
LabelUncertainty,0.016739810722198545,600
LabelUncertainty,0.020652250722198562,600
LabelUncertainty,0.02906599072219851,600
LabelUncertainty,0.04022448072219853,600
LabelUncertainty,0.008317650722198366,600
LabelUncertainty,0.020993460722198543,600
LabelUncertainty,0.010552070722198437,600
LabelUncertainty,0.0329749807221984,700
LabelUncertainty,0.03474222072219857,700
LabelUncertainty,0.014467260722198394,700
LabelUncertainty,0.023170560722198474,700
LabelUncertainty,0.03132204072219846,700
LabelUncertainty,0.02321213072219852,700
LabelUncertainty,0.016287530722198462,700
LabelUncertainty,0.027312540722198575,700
LabelUncertainty,0.014345550722198563,700
LabelUncertainty,0.011589340722198527,700
LabelUncertainty,0.01580648072219859,800
LabelUncertainty,0.01804826072219834,800
LabelUncertainty,0.028289400722198432,800
LabelUncertainty,0.02863676072219845,800
LabelUncertainty,0.024523130722198472,800
LabelUncertainty,0.019621900722198493,800
LabelUncertainty,0.035588080722198545,800
LabelUncertainty,0.03126911072219851,800
LabelUncertainty,0.017161110722198503,800
LabelUncertainty,0.01838810072219854,800
LabelUncertainty,0.024087780722198526,900
LabelUncertainty,0.02026884072219859,900
LabelUncertainty,0.024700700722198432,900
LabelUncertainty,0.024844160722198416,900
LabelUncertainty,0.016318410722198418,900
LabelUncertainty,0.03188186072219856,900
LabelUncertainty,0.016093550722198646,900
LabelUncertainty,0.02032778072219843,900
LabelUncertainty,0.030774730722198496,900
LabelUncertainty,0.010676930722198441,900
LabelUncertainty,0.0018658907221984489,1000
LabelUncertainty,0.01960478072219851,1000
LabelUncertainty,0.027654140722198517,1000
LabelUncertainty,0.018221920722198637,1000
LabelUncertainty,0.01648709072219845,1000
LabelUncertainty,0.024842330722198436,1000
LabelUncertainty,0.026935880722198435,1000
LabelUncertainty,0.012693470722198397,1000
